OBJECTID,BdVal,PctNum,BdName,ElectPct,Requests,Returns,PercentReturned,Party,ELECTNO_1,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
254,0479,479.0,MADISON PARK,0479,1594,953,0.597867,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5157612.16015625,12744.6954313236
255,0612,612.0,PALO VERDE,0612,1575,839,0.532698,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5528625.15625,9595.84961450252
256,0234,234.0,DOVE VALLEY,0234,538,338,0.628252,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11474393.1679688,15517.4055165311
257,0174,174.0,COTTONWOOD COUNTRY CLUB,0174,1027,886,0.862706,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7463704.8046875,11580.2642706129
258,0437,437.0,LAS COLINAS,0437,891,486,0.545454,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7066748.64453125,13701.2017246393
259,0694,694.0,RIVERSIDE,0694,1240,454,0.366129,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,35439980.0859375,27849.339583024
260,0510,510.0,MESA GRAND,0510,255,106,0.415686,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1845738.8125,5754.45061711741
261,0625,625.0,PEAK VIEW,0625,443,371,0.837471,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,20198894.0664063,20347.437876802
262,0030,30.0,ARCADIA,0030,950,675,0.710526,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3773772.62890625,7780.43275552885
263,0137,137.0,CLEARWATER,0137,300,225,0.75,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7655273.7421875,12227.1424287508
264,0506,506.0,MCQUEEN,0506,845,513,0.6071,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3697721.8359375,7689.80466948717
265,0682,682.0,REFLECTION,0682,250,132,0.528,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1707692.96484375,5785.24619995103
266,0248,248.0,EASTMARK,0248,662,435,0.657099,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2813676.00390625,6798.86362160296
267,0851,851.0,TRILOGY,0851,814,467,0.57371,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4113319.33203125,8468.22234016476
268,0732,732.0,SANTA MARIA,0732,733,214,0.29195,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5471767.0859375,9584.70704735587
269,0285,285.0,FLYNN,0285,504,193,0.382936,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1846189.98828125,5777.20141665135
270,0191,191.0,CULVER,0191,777,268,0.344916,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1870129.8671875,5797.74160847122
271,0188,188.0,CROSSROADS PARK,0188,630,361,0.573015,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4512337.1328125,11126.6122675093
272,0082,82.0,BUFFALO RIDGE,0082,959,632,0.659019,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5692958.54296875,11766.6910609669
273,0621,621.0,PARKWOOD,0621,376,229,0.609042,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4978406.171875,9786.08594465191
274,0821,821.0,SURPRISE FARMS,0821,678,370,0.545722,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3661108.36328125,7613.66897242707
