OBJECTID,BdVal,BdName,Requests,Returns,PercentReturned,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
101,0017,ALTADENA,1112,593,0.533273,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3508035.9375,7502.30958975723
102,0439,LASSEN,2681,1032,0.38493,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6730381.58984375,15562.7838904336
103,0302,GARDNER,2061,1085,0.526443,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5320095.26171875,11795.7572248626
104,0752,SHEFFIELD,339,180,0.530973,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4935434.9296875,11588.1069939011
105,0595,ORME,3304,1220,0.369249,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,8650259.51171875,11956.6352461246
106,0454,LISBON,2875,1305,0.453913,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3744170.21484375,7738.83710701192
107,0155,CONCORD,1465,805,0.549488,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1867562.56640625,5796.90158470975
108,0293,FRANKLIN,2154,953,0.442432,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3618798.21484375,7501.89499406508
109,0222,DESERT VISTA,1646,907,0.551032,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2598696.88671875,8122.74522476132
110,0550,NORTERRA,3309,1849,0.558779,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,57659686.2265625,32616.7824931392
111,0336,GREENFIELD PARK,4205,2158,0.513198,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7284002.2265625,11359.9988977211
112,0733,SANTAN,788,359,0.455583,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4884034.14453125,11961.4572979512
113,0590,ORANGE TREE,1077,697,0.647168,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4594442.61328125,9636.25319881284
114,0897,WESTGREEN PARK,2236,1108,0.495527,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3178308.08203125,8719.89457062792
115,0541,MUMMY MOUNTAIN,2972,1878,0.631897,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5297067.34375,11705.0158049709
116,0795,SUMMERSTAR,1169,941,0.804961,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2687893.33984375,7537.42298909282
117,0880,VOGEL,3240,1516,0.467901,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5606762.5546875,10846.0094932227
118,0852,TUCKEY,822,246,0.29927,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2305324.0234375,7117.6216910919
119,0467,LOOKOUT RIDGE,2304,1565,0.679253,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11492148.6523438,18447.7976568075
120,0018,ALVARADO,1355,488,0.360147,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4500712.01171875,9117.46789587639
121,0640,PILGRIM,4420,2572,0.5819,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6555527.78515625,11302.7462005478
122,0442,LAVEEN MEADOWS,1877,695,0.370271,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4992543.0546875,9126.76790124747
123,0797,SUN CITY,2475,1864,0.753131,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5026034.39453125,13068.7413796702
124,0146,COLDWATER RIDGE,2896,999,0.344958,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6159233.765625,10968.320327682
125,0091,CALAVAR,1212,678,0.559405,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1495197.58984375,5672.36689070803
126,0623,PAYNE,614,337,0.548859,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3704193.30859375,7575.4183804252
127,0662,PRINCESS,1532,913,0.595953,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9957599.21484375,13085.4975475625
128,0297,FRONTIER,4392,2386,0.54326,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9912432.80859375,17909.1559522368
129,0870,VERRADO,2536,1302,0.513406,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11911878.03125,14470.3311862501
130,0933,YUKON,1590,1147,0.721383,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2717358.359375,7304.51256515998
131,0422,KLEINMAN,3306,1231,0.372353,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6296697.47265625,11461.650262684
132,0077,BREWER,2428,1305,0.537479,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7636795.44140625,12478.8876281277
133,0052,BARNEY,2161,924,0.427579,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3656186.546875,7648.06399679983
134,0908,WICKENBURG,3730,2361,0.632975,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1066978731.33984,183130.320473874
135,0709,ROTARY PARK,2570,1438,0.559533,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3701623.92578125,9559.57833410354
136,0770,SOSSAMAN,3673,1877,0.511026,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9007570.0859375,13043.9406058567
137,0335,GREENFIELD,2171,811,0.37356,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3772050.6875,7791.31909978302
138,0810,SUNLAND VILLAGE,4675,2699,0.577326,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7328123.2421875,11471.2544152495
139,0138,CLIFFVIEW,1491,1055,0.707578,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2125892.21875,6755.14695121037
140,0533,MONTOYA,3485,1852,0.53142,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,12041028.2890625,15470.2882389953
141,0183,CREIGHTON,2654,1004,0.378296,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4581814.8828125,9544.7940311759
142,0284,FLOWER,1926,981,0.509345,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,16066451.1914063,16156.9909117941
143,0299,GALVESTON,2983,1535,0.514582,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3601161.8359375,7614.93179817802
144,0321,GLENVIEW,2835,1629,0.574603,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5858200.2734375,13113.7212780093
145,0072,BOLERO,399,121,0.303258,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,754501.19921875,4669.86545834788
146,0296,FRIER,551,200,0.362976,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1880918.296875,5847.49628145977
147,0688,RIMROCK,2036,1586,0.778978,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3786512.91796875,7782.51762134858
148,0261,ENCANTO,2467,1570,0.6364,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5587094.0078125,9678.54952663113
149,0205,DENALI,2620,1216,0.464122,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3710411.93359375,7705.7618047468
150,0599,PAIUTE,2696,1252,0.464391,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3678364.10546875,9620.67769050737
151,0519,MIMOSA,3207,2578,0.803866,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6052013.25390625,11399.4074639654
152,0023,ANNETTE,2541,1439,0.566312,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4192931.75390625,10128.3414568241
153,0132,CITRUS,1980,1174,0.592929,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1889341.4140625,5829.40379331012
154,0350,HARMONT,3043,1317,0.432796,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5154841.3203125,10767.1532552709
155,0459,LOMA VERDES,1769,1169,0.660825,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,15257941.34375,19573.7113096242
156,0751,SHEENA,2438,1609,0.659967,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4154468.91015625,10502.0161923858
157,0807,SUNDOWN,2038,1474,0.723258,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4316803.29296875,9866.58856937096
158,0148,COLONNADE,2598,1491,0.573903,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2932071.3984375,6951.23021342143
159,0398,IVANHOE,3466,1744,0.503173,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3684688.19140625,7678.29074192246
